ID,Name,Comment,SoundPath,SoundVolume,Memo
NL,[改行コード],"
",None,,この行はいじらない
LC_1,実況,"さぁ、始まりました。第8回目椅ースポーツのお時間です。
実況解説は放送委員の高野と",SoundWave'/Game/Voice/LiveCommnentary/01.01',10,ゲーム開始時、マップをカメラで眺めている時。
C_1,解説,同じく放送委員の半田がお送りします。,SoundWave'/Game/Voice/Commentary/01.01',10,
LC_2,実況,"さぁ、方向を定めました。
どうやら中心狙いでしょうか",SoundWave'/Game/Voice/LiveCommnentary/02.02',10,方向選択で真ん中を選んだ時
C_2,解説,ストレートに高得点狙いでしょう。,SoundWave'/Game/Voice/Commentary/02.02',10,
LC_3,実況,これは、狙いを横にずらしているようですが、何か狙いがあるのでしょうか。,SoundWave'/Game/Voice/LiveCommnentary/03.03',10,方向選択で左右を選んだ時
C_3,解説,地道に点数を稼ぐつもりでしょう。,SoundWave'/Game/Voice/Commentary/03.03',10,
LC_4_1,実況,長めに助走を取って,SoundWave'/Game/Voice/LiveCommnentary/04_01.04_01',10,最大パワーの8割以上で投げた時。
LC_4_2,実況,投げたー！,SoundWave'/Game/Voice/LiveCommnentary/04_02.04_02',10,
LC_4_3,実況,力強い1脚だ。,SoundWave'/Game/Voice/LiveCommnentary/04_03.04_03',10,
C_4,解説,相手を吹き飛ばすつもりでしょう,SoundWave'/Game/Voice/Commentary/04.04',10,
LC_5_1,実況,おっと、これは弱いんじゃないか～？,SoundWave'/Game/Voice/LiveCommnentary/05_01.05_01',10,最大パワーの8割未満だった時。
LC_5_2,実況,ここで力を弱く選択したようです,SoundWave'/Game/Voice/LiveCommnentary/05_02.05_02',10,
C_5,解説,ハウスにピタリと止まることに期待です。,SoundWave'/Game/Voice/Commentary/05.05',10,
LC_6,実況,ハウスにインしたー。,SoundWave'/Game/Voice/LiveCommnentary/06.06',10,椅子がハウス内で止まった時。
C_6_1,解説,素晴らしい,SoundWave'/Game/Voice/Commentary/06_01.06_01',10,
C_6_2,解説,コントロールです。,SoundWave'/Game/Voice/Commentary/06_02.06_02',10,
LC_7,実況,やってしまった～...これはアウトだー。,SoundWave'/Game/Voice/LiveCommnentary/07.07',10,アウトゾーンに止まった時。
C_7_1,解説,やってしまいましたね～,SoundWave'/Game/Voice/Commentary/07_01.07_01',10,
C_7_2,解説,厳しい戦いになりそうですね,SoundWave'/Game/Voice/Commentary/07_02.07_02',10,
LC_8,実況,"おっと、ここでアクシデントが発生しました！女子がコースに入ってきます。
あーっと！転んでしまったー。床が水浸しだー。",SoundWave'/Game/Voice/LiveCommnentary/08.08',10,イベント１で女子が廊下に侵入した時。
LC_8_1,実況,おっと、ここでアクシデントが発生しました！女子がコースに入ってきます。,SoundWave'/Game/Voice/LiveCommnentary/08_01.08_01',10,
LC_8_2,実況,あーっと！転んでしまったー。床が水浸しだー。,SoundWave'/Game/Voice/LiveCommnentary/08_02.08_02',10,
C_8,解説,水の上はスピンがやりにくそうですね。,SoundWave'/Game/Voice/Commentary/08.08',10,
LC_9,実況,先ほどの床を透かさず男子が拭きに来ました。女子に優しい男子はモテます！,SoundWave'/Game/Voice/LiveCommnentary/09.09',10,イベント２で男子が廊下に侵入した時。
C_9,解説,磨かれた床は余計に滑りそうですね。私も拭きに参加したいです！,SoundWave'/Game/Voice/Commentary/09.09',10,
LC_10,実況,これはイスバウアーが出るか！,SoundWave'/Game/Voice/LiveCommnentary/10.10',0.7,投げる時
C_10,解説,いかに綺麗な曲線が作れるかがポイントです。,SoundWave'/Game/Voice/Commentary/10.10',0.7,
LC_11,実況,ここは慎重に力加減を見極めたいところ。,SoundWave'/Game/Voice/LiveCommnentary/11.11',0.7,
C_11,解説,中心を狙うか、妨害を狙うかが見所です。,SoundWave'/Game/Voice/Commentary/11.11',0.7,
LC_12,実況,大きく振りかぶって、投げたー,SoundWave'/Game/Voice/LiveCommnentary/12.12',0.7,最大パワーの8割以上で投げた時。
C_12,解説,今年は甲子園に連れて行ってくれるでしょうか,SoundWave'/Game/Voice/Commentary/12.12',0.7,
LC_13,実況,これはきれいなスイングだ,SoundWave'/Game/Voice/LiveCommnentary/13.13',0.7,最大パワーの8割未満だった時。
C_13,解説,ファー！,SoundWave'/Game/Voice/Commentary/13.13',0.7,
LC_14_1,実況,きれいなトリプルアクセルです。,SoundWave'/Game/Voice/LiveCommnentary/14_01.14_01',0.7,回転
LC_14_2,実況,続けて前方三回転半捻り成功なるか！,SoundWave'/Game/Voice/LiveCommnentary/14_02.14_02',0.7,
C_14,解説,どちらもただ椅子が3回回ってるだけですね,SoundWave'/Game/Voice/Commentary/14.14',0.7,
C_15_1,実況,ジャストフィッート！,SoundWave'/Game/Voice/Commentary/15_01.15_01',0.7,椅子がハウス内で止まった時。
LC_15,解説,あの..,SoundWave'/Game/Voice/LiveCommnentary/15.15',0.7,
C_15_2,実況,すみません。つい熱が入りました。,SoundWave'/Game/Voice/Commentary/15_02.15_02',0.7,
LC_16_1,実況,見事なインですね！,SoundWave'/Game/Voice/LiveCommnentary/16_01.16_01',0.7,
LC_16_2,実況,狙い通りといったところでしょうか！,SoundWave'/Game/Voice/LiveCommnentary/16_02.16_02',0.7,
C_16_1,解説,ナイスポイントです！,SoundWave'/Game/Voice/Commentary/16_01.16_01',0.7,
C_16_2,解説,良い位置につけましたね！,SoundWave'/Game/Voice/Commentary/16_02.16_02',0.7,
LC_17_1,実況,惜しい一脚ですね～,SoundWave'/Game/Voice/LiveCommnentary/17_01.17_01',0.7,アウトゾーンに止まった時。
LC_17_2,実況,少々滑り過ぎたか！？,SoundWave'/Game/Voice/LiveCommnentary/17_02.17_02',0.7,
C_17_1,解説,気を落とさず、次のプレイに臨んでほしいですね。,SoundWave'/Game/Voice/Commentary/17_01.17_01',0.7,
C_17_2,解説,まだ負けたわけではありません！、気にせずに行きましょう！,SoundWave'/Game/Voice/Commentary/17_02.17_02',0.7,
LC_18,実況,ドゥクシッ,SoundWave'/Game/Voice/LiveCommnentary/18.18',0.7,衝突時
